RepRapFirmware height map file v2 generated at 2022-02-04 20:26, min error -0.048, max error 0.182, mean 0.066, deviation 0.058
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,206.50,10.00,206.50,-1.00,32.75,32.75,7,7
 -0.040, -0.048, -0.024, -0.021,  0.010,  0.070,  0.141
  0.001, -0.013, -0.014,  0.002,  0.014,  0.046,  0.142
  0.019,  0.027,  0.027,  0.025,  0.041,  0.089,  0.172
  0.054,  0.082,  0.054,  0.042,  0.022,  0.056,  0.142
  0.082,  0.077,  0.057,  0.060,  0.044,  0.092,  0.161
  0.125,  0.112,  0.082,  0.074,  0.047,  0.065,  0.126
  0.182,  0.146,  0.126,  0.110,  0.084,  0.091,  0.168
